,1,2,3,4,5,6,7,8,9,10,11,12
S208,2,1,1,1,1,1,1,2,2,1,1,1
S209,2,1,1,1,1,1,1,2,2,1,1,1
S210,2,1,1,1,1,1,1,2,2,1,1,1
S211,2,1,1,1,1,1,1,2,2,1,1,1
S212,2,1,1,1,1,1,1,2,2,1,1,1
S213,2,1,1,1,1,1,1,2,2,1,1,1
S214,2,1,1,1,1,1,1,2,2,1,1,1
S215,2,1,1,1,1,1,1,2,2,1,1,1
S216,2,1,1,1,1,1,1,2,2,1,1,1
S217,2,1,1,1,1,1,1,2,2,1,1,1
S218,2,1,1,1,1,1,1,2,2,1,1,1
S219,2,1,1,1,1,1,1,2,2,1,1,1
S220,2,1,1,1,1,1,1,2,2,1,1,1
S221,2,1,1,1,1,1,1,2,2,1,1,1
S222,2,1,1,1,1,1,1,2,2,1,1,1
S223,2,1,1,1,1,1,1,2,2,1,1,1
S224,2,1,1,1,1,1,1,2,2,1,1,1
S225,2,1,1,1,1,1,1,2,2,1,1,1
S226,2,1,1,1,1,1,1,2,2,1,1,1
S227,2,1,1,1,1,1,1,2,2,1,1,1
S228,2,1,1,1,1,1,1,2,2,1,1,1
S229,2,1,1,1,1,1,1,2,2,1,1,1
S230,2,1,1,1,1,1,1,2,2,1,1,1
S231,2,1,1,1,1,1,1,2,2,1,1,1
S232,2,1,1,1,1,1,1,2,2,1,1,1
S233,2,1,1,1,1,1,1,2,2,1,1,1
S234,2,1,1,1,1,1,1,2,2,1,1,1
S235,2,1,1,1,1,1,1,2,2,1,1,1
S236,2,1,1,1,1,1,1,2,2,1,1,1
S237,2,1,1,1,1,1,1,2,2,1,1,1
S238,2,1,1,1,1,1,1,2,2,1,1,1
S239,2,1,1,1,1,1,1,2,2,1,1,1
S240,2,1,1,1,1,1,1,2,2,1,1,1
S241,2,1,1,1,1,1,1,2,2,1,1,1
S242,2,1,1,1,1,1,1,2,2,1,1,1
S243,2,1,1,1,1,1,1,2,2,1,1,1
S244,2,1,1,1,1,1,1,2,2,1,1,1
S245,2,1,1,1,1,1,1,2,2,1,1,1
S246,2,1,1,1,1,1,1,2,2,1,1,1
S247,2,1,1,1,1,1,1,2,2,1,1,1
S248,2,1,1,1,1,1,1,2,2,1,1,1
S249,2,1,1,1,1,1,1,2,2,1,1,1
S250,2,1,1,1,1,1,1,2,2,1,1,1
S251,2,1,1,1,1,1,1,2,2,1,1,1
S252,2,1,1,1,1,1,1,2,2,1,1,1
S253,2,1,1,1,1,1,1,2,2,1,1,1
S254,2,1,1,1,1,1,1,2,2,1,1,1
S255,2,1,1,1,1,1,1,2,2,1,1,1
S256,2,1,1,1,1,1,1,2,2,1,1,1
S257,2,1,1,1,1,1,1,2,2,1,1,1
S258,2,1,1,1,1,1,1,2,2,1,1,1
S259,2,1,1,1,1,1,1,2,2,1,1,1
S260,2,1,1,1,1,1,1,2,2,1,1,1
S261,2,1,1,1,1,1,1,2,2,1,1,1
S262,3,2,2,3,3,2,2,2,3,2,1,2
S263,3,2,2,3,3,2,2,2,3,2,1,2
S264,3,2,2,3,3,2,2,2,3,2,1,2
S265,3,2,2,3,3,2,2,2,3,2,1,2
S266,3,2,2,3,3,2,2,2,3,2,1,2
S267,3,2,2,3,3,2,2,2,3,2,1,2
S268,3,2,2,3,3,2,2,2,3,2,1,2
S269,3,2,2,3,3,2,2,2,3,2,1,2
S270,3,2,2,3,3,2,2,2,3,2,1,2
S271,3,2,2,3,3,2,2,2,3,2,1,2
S272,3,2,2,3,3,2,2,2,3,2,1,2
S273,3,2,2,3,3,2,2,2,3,2,1,2
S274,3,2,2,3,3,2,2,2,3,2,1,2
S275,3,2,2,3,3,2,2,2,3,2,1,2
S276,3,2,2,3,3,2,2,2,3,2,1,2
S277,3,2,2,3,3,2,2,2,3,2,1,2
S278,3,2,2,3,3,2,2,2,3,2,1,2
